case,seed,rmse_real_vs_virtual,rmse_real_vs_nominal,mae_real_vs_virtual,mae_real_vs_nominal,mard_real_vs_virtual_pct,mard_real_vs_nominal_pct,improve_rmse_pct,virtual_better_than_nominal
0,900000,7.7971062660217285,34.51475143432617,6.756018161773682,31.23462677001953,2.5664441287517548,11.689247190952301,77.40935124259008,1.0
1,900001,6.293087482452393,40.449615478515625,4.694204330444336,32.28737258911133,1.4491192065179348,9.362626075744629,84.44215746427825,1.0
2,900002,10.476369857788086,55.967018127441406,9.54623031616211,51.63747024536133,3.908785805106163,21.369647979736328,81.28117200396035,1.0
3,900003,8.33006477355957,20.24477767944336,6.124521732330322,15.43258285522461,2.018100768327713,4.974682629108429,58.853266232614864,1.0
4,900004,6.269674777984619,35.265621185302734,4.293734073638916,28.71030044555664,1.4117796905338764,8.837398141622543,82.22156716015097,1.0
5,900005,4.451915740966797,26.395994186401367,3.0745673179626465,20.926584243774414,1.0824316181242466,6.573788821697235,83.13412364948798,1.0
6,900006,8.6632080078125,37.50983428955078,7.219968795776367,36.10301208496094,2.858901768922806,13.864022493362427,76.90416880826947,1.0
7,900007,3.3315720558166504,27.836755752563477,2.191807746887207,23.21643829345703,0.722530810162425,7.269826531410217,88.0317516687991,1.0
8,900008,10.369988441467285,9.598922729492188,7.3794403076171875,7.306247234344482,2.5216257199645042,2.5312086567282677,-8.032835909867654,0.0
9,900009,4.007729530334473,32.96664047241211,2.26869797706604,26.674772262573242,0.7932489737868309,8.320997655391693,87.84307568832102,1.0
10,900010,15.33662223815918,22.24616241455078,11.57346248626709,19.162004470825195,3.771427646279335,6.101066619157791,31.059470157748226,1.0
11,900011,12.039460182189941,6.857074737548828,10.52560043334961,5.615962505340576,3.668931871652603,1.9920054823160172,-75.57720519309434,0.0
12,900012,3.975370407104492,50.519596099853516,3.2744014263153076,46.68946838378906,1.2545133009552956,18.751806020736694,92.13103287831706,1.0
13,900013,5.7664031982421875,38.908016204833984,3.97864031791687,29.52481460571289,1.3472030870616436,9.144219756126404,85.17939550583984,1.0
14,900014,3.2147021293640137,27.89032554626465,2.259333848953247,24.206693649291992,0.7936284877359867,9.174206852912903,88.47377337338195,1.0
15,900015,12.883735656738281,30.689722061157227,11.247245788574219,28.255203247070312,4.26090881228447,10.773354023694992,58.019379807141625,1.0
16,900016,9.784295082092285,9.723542213439941,8.688822746276855,8.363197326660156,2.8804557397961617,2.7836494147777557,-0.6248018193243388,0.0
17,900017,5.402616500854492,34.81465148925781,3.8793067932128906,29.68545150756836,1.2807905673980713,9.318527579307556,84.48177342082116,1.0
18,900018,8.87421989440918,9.040779113769531,6.9634270668029785,6.996458053588867,2.3278070613741875,2.3197872564196587,1.8423104609056717,1.0
19,900019,10.073482513427734,44.257110595703125,6.752443313598633,34.54486083984375,2.0459122955799103,10.340893268585205,77.23872530800563,1.0
20,900020,5.5149054527282715,39.01566696166992,3.309055805206299,30.511024475097656,1.1755500920116901,9.195467829704285,85.86489509932954,1.0
21,900021,13.628412246704102,34.06937789916992,11.68295669555664,32.08049774169922,4.375333338975906,11.986422538757324,59.998059585830745,1.0
22,900022,10.678082466125488,37.5767707824707,9.747014045715332,33.58776092529297,3.7794098258018494,12.691502273082733,71.58328870796227,1.0
23,900023,13.15342903137207,25.259418487548828,12.505098342895508,22.503320693969727,4.587175324559212,8.544754981994629,47.92663561175878,1.0
24,900024,19.034940719604492,65.73748016357422,17.14646339416504,60.67709732055664,7.2557419538497925,26.354578137397766,71.04400614042407,1.0
25,900025,24.17697525024414,56.70774459838867,17.691375732421875,44.59248352050781,5.128122866153717,12.700189650058746,57.36565539421732,1.0
