step,cgm,sbi_updated,sbi_status,sbi_scale_kabs,sbi_scale_kp1,sbi_scale_kp2,sbi_scale_kp3,ekf_g_model,residual,residual_abs,residual_nis,fault_alarm,fault_reason,xhat_g,xhat_x,xhat_i,smith_predicted_glucose,controller_input_glucose,insulin_raw_u_per_hr,fault_override_active,insulin_safe_u_per_hr,insulin_applied_u_per_hr,meal_effect,tcp_rtt_ms,smith_delay_steps,actuation_source
11,147.4554645828424,False,skip_interval,1.0,1.0,1.0,1.0,148.07804091200435,-0.6225763291619444,0.6225763291619444,6.254397381598099e-05,False,normal,147.45797608106707,-0.020392370064673742,15.213492935818687,142.11553224250486,142.1130207442802,1.2432344860959403,False,1.2432344860959403,1.2432344860959403,0.0,,3,local
12,146.331337096489,False,insufficient_history,1.0,1.0,1.0,1.0,145.5850772770137,0.7462598194752843,0.7462598194752843,9.419211417286553e-05,False,normal,146.32818162329738,-0.01945899409965482,15.208732370328915,141.1468747192746,141.1500301924662,1.385080538636123,False,1.385080538636123,1.385080538636123,0.0,,3,local
13,146.43856420240073,False,skip_interval,1.0,1.0,1.0,1.0,144.51177254213252,1.9267916602682078,1.9267916602682078,0.0006408304734958419,False,normal,146.43024946751385,-0.020606688230708176,15.220897667045204,141.2343851372097,141.24269987209658,1.515232658262042,False,1.515232658262042,1.515232658262042,0.0,,3,local
14,147.23129479753368,False,skip_interval,1.0,1.0,1.0,1.0,144.60873699413816,2.622557803395523,2.622557803395523,0.0011846825279955312,False,normal,147.22000160004475,-0.02279038111199632,15.238674240434436,141.91149887183835,141.92279206932727,1.5980529294704955,False,1.5980529294704955,1.5980529294704955,0.0,,3,local
15,147.97771451766695,False,skip_interval,1.0,1.0,1.0,1.0,145.3590015200425,2.618712997624442,2.618712997624442,0.0011641262985679838,False,normal,147.96660098308314,-0.02470716735849832,15.254001214180109,142.5516145178709,142.5627280524547,1.605004072061846,False,1.605004072061846,1.605004072061846,0.0,,3,local
16,147.54939385223776,False,skip_interval,1.0,1.0,1.0,1.0,146.06827093392897,1.4811229183087846,1.4811229183087846,0.0003673900287870991,False,normal,147.54319264462282,-0.02452163341973421,15.260824001884448,142.18859479368348,142.1947960012984,1.4806872469138752,False,1.4806872469138752,1.4806872469138752,0.0,,3,local
17,144.8586907661318,False,skip_interval,1.0,1.0,1.0,1.0,145.66603301239167,-0.8073422462598785,0.8073422462598785,0.00011002574111639273,False,normal,144.8620978014265,-0.020579133638681614,15.251224861332854,139.88989110249804,139.88648406720333,1.21520941422094,False,1.21520941422094,1.21520941422094,0.0,,3,local
18,139.88699928304186,False,insufficient_history,1.0,1.0,1.0,1.0,143.11899291135518,-3.231993628313319,3.231993628313319,0.0018531986802519146,False,normal,139.9013340783213,-0.012897470910718058,15.221053345210596,135.63665630540075,135.6223215101213,0.9182530558736193,False,0.9182530558736193,0.9182530558736193,0.0,,3,local
19,134.88662240936492,False,skip_interval,1.0,1.0,1.0,1.0,138.40626737440525,-3.519644965040328,3.519644965040328,0.0024167625435284035,False,normal,134.90378864749073,-0.005226933642080757,15.179525758652742,131.35188579164236,131.33471955351655,0.8525486132187201,False,0.8525486132187201,0.8525486132187201,0.0,,3,local
20,132.4742383447735,False,skip_interval,1.0,1.0,1.0,1.0,133.6585992151162,-1.1843608703426867,1.1843608703426867,0.0003024010290897196,False,normal,132.48062155610424,-0.0023867360374652652,15.156391326672736,129.27432290666488,129.26793969533415,1.0893300964696895,False,1.0893300964696895,1.0893300964696895,0.0,,3,local
