group,n_patients,mean_rel_err_all_params_mean,mean_rel_err_all_params_median,mean_rel_err_all_params_std,mean_uncertainty_mean,mean_uncertainty_median,mean_uncertainty_std,mean_rmse_real_vs_virtual_mean,mean_rmse_real_vs_virtual_median,mean_rmse_real_vs_virtual_std,mean_rmse_real_vs_nominal_mean,mean_rmse_real_vs_nominal_median,mean_rmse_real_vs_nominal_std,mean_improve_rmse_pct_mean,mean_improve_rmse_pct_median,mean_improve_rmse_pct_std,virtual_better_ratio_mean,virtual_better_ratio_median,virtual_better_ratio_std,best_improve_rmse_pct_mean,best_improve_rmse_pct_median,best_improve_rmse_pct_std,worst_improve_rmse_pct_mean,worst_improve_rmse_pct_median,worst_improve_rmse_pct_std,count_virtual_better_ratio_ge_0_9,count_positive_mean_improve
adolescent,10,0.07165373340690823,0.07215835024541711,0.003272647638249528,0.06575421126356396,0.06594101536589173,0.001908873911084519,11.30165632550533,8.964506323520954,4.83168623469441,27.949816299401796,26.83054868074564,5.281394973905763,49.2834306171397,55.035740082595545,16.426945267971096,0.9115384615384615,0.9230769230769231,0.06447328697784696,85.03355054869456,88.47019762311012,12.643765821202091,-64.43934063886167,-34.17069639921378,74.83022123780319,6,10
adult,10,0.0728018320573758,0.07246148296702518,0.002289545191269909,0.06674651937404026,0.06635222477145875,0.0019733618059923777,14.363969610287592,14.31493017077446,4.736049505819119,33.592512127986325,35.23194731198824,4.820988141635409,49.784236276594505,54.3482447476044,12.765259785391056,0.9423076923076923,0.9615384615384616,0.05231334811052095,84.49471217165447,88.72624415593492,9.32417283519387,-42.35324075433634,-34.96271779323618,63.89529135184226,7,10
child,10,0.07152370156917068,0.07222112325081857,0.0031917322211286367,0.06625619990906367,0.06649431341793388,0.001589611061931882,7.645854798417825,5.260445442337256,6.02225068643483,20.653803674074318,14.901134268595623,13.789006139568645,39.362506644935934,42.30994633029736,23.288583858332252,0.8384615384615385,0.8846153846153846,0.12616322666812868,89.10747805705843,91.85269469073025,8.29940438143316,-193.63475093149523,-215.9440936956285,142.24640979342155,4,9
