case,seed,rmse_real_vs_virtual,rmse_real_vs_nominal,mae_real_vs_virtual,mae_real_vs_nominal,mard_real_vs_virtual_pct,mard_real_vs_nominal_pct,improve_rmse_pct,virtual_better_than_nominal
0,900000,2.200438976287842,7.899208068847656,0.736864447593689,3.21443772315979,0.23511643521487713,1.0164370760321617,72.14354961776766,1.0
1,900001,1.1355451345443726,12.439562797546387,0.3011549413204193,4.957185745239258,0.10887730168178678,1.3374656438827515,90.87150285725194,1.0
2,900002,1.1687431335449219,8.436771392822266,0.4840549826622009,3.674116373062134,0.17036829376593232,1.222995389252901,86.14703327698021,1.0
3,900003,1.4308570623397827,10.103157043457031,0.6082552671432495,4.077479362487793,0.19134506583213806,1.235919538885355,85.8375252786313,1.0
4,900004,5.1232123374938965,3.5496366024017334,2.177936553955078,1.3759591579437256,0.6651085335761309,0.4480751231312752,-44.33061497133144,0.0
5,900005,3.270698308944702,2.810502052307129,1.2735042572021484,1.0267131328582764,0.4405524116009474,0.3306556958705187,-16.374165471959003,0.0
6,900006,6.986502647399902,1.6746677160263062,2.753169298171997,0.6767041087150574,0.7998796179890633,0.24075666442513466,-317.18739667219785,0.0
7,900007,3.7518441677093506,15.78052043914795,1.632194995880127,6.80880880355835,0.5707218311727047,2.28230282664299,76.22483883103207,1.0
8,900008,1.7220746278762817,13.693020820617676,0.5822239518165588,5.661863327026367,0.20528556779026985,1.872350461781025,87.42370547422712,1.0
9,900009,2.249155044555664,14.211771011352539,0.7413411736488342,5.869688987731934,0.20596215035766363,1.6115674749016762,84.17399884392303,1.0
10,900010,4.063740253448486,15.410161972045898,1.7732114791870117,6.361106872558594,0.5901186726987362,2.08318829536438,73.62947734864741,1.0
11,900011,1.2892886400222778,1.9068193435668945,0.5148133635520935,0.7111325263977051,0.1759538659825921,0.25245300494134426,32.38538069314235,1.0
12,900012,2.650484800338745,3.2426772117614746,1.0213268995285034,1.2828845977783203,0.3379934234544635,0.4187400918453932,18.262453298613746,1.0
13,900013,1.1625536680221558,3.1672282218933105,0.3659980595111847,1.2877131700515747,0.14130236813798547,0.4095926880836487,63.29428804700399,1.0
14,900014,9.537371635437012,3.9028074741363525,4.072149276733398,1.601544976234436,1.2749193236231804,0.4934359807521105,-144.37207570807794,0.0
15,900015,4.281859874725342,13.892158508300781,1.6921591758728027,5.663844585418701,0.5432065110653639,1.8210504204034805,69.17786482088538,1.0
16,900016,2.2638537883758545,6.598134994506836,0.8106672167778015,2.84652042388916,0.2655614400282502,0.909183919429779,65.68948967760456,1.0
17,900017,1.3827329874038696,1.7639896869659424,0.5779955983161926,0.5851044654846191,0.20025165285915136,0.19254939397796988,21.613317945063116,1.0
18,900018,1.4493486881256104,2.4572553634643555,0.5618061423301697,0.7314103245735168,0.18750005401670933,0.20816714968532324,41.01757962663475,1.0
19,900019,1.8129370212554932,8.944235801696777,0.659762442111969,3.2034919261932373,0.2334485063329339,0.8669371716678143,79.73066607980563,1.0
20,900020,5.671279430389404,2.5854222774505615,2.1978862285614014,1.008055329322815,0.6649034097790718,0.31532985158264637,-119.35602086564177,0.0
21,900021,2.440568208694458,5.074214935302734,0.9424784183502197,1.8226759433746338,0.2958927536383271,0.543390866369009,51.90254571766872,1.0
22,900022,1.9397821426391602,1.7848269939422607,0.7343080043792725,0.7183741331100464,0.26424091774970293,0.24001740384846926,-8.681802170340337,0.0
23,900023,2.8374433517456055,3.7466344833374023,1.0040775537490845,1.4211009740829468,0.31992571894079447,0.4527611192315817,24.266875662285415,1.0
24,900024,5.381326198577881,15.091894149780273,2.1647214889526367,5.965559005737305,0.6921856664121151,1.8616147339344025,64.34293704176139,1.0
25,900025,1.4173965454101562,8.086973190307617,0.5000044703483582,3.399517297744751,0.17549151089042425,1.0260929353535175,82.4730895966252,1.0
